country,geographicCoverage,continent
Algeria,DZA,Africa
Angola,AGO,Africa
Argentina,ARG,South America
Armenia,ARM,Europe
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Bahrain,BHR,Asia
Bangladesh,BGD,Asia
Bhutan,BTN,Asia
Bolivia ,BOL,South America
Bonaire,BES,North America
Brazil,BRA,South America
Bulgaria,BGR,Europe
Cabo Verde,CPV,Africa
Cambodia,KHM,Asia
Canada,CAN,North America
Chile,CHL,South America
China,CHN,Asia
Colombia,COL,South America
Croatia,HRV,Europe
Cyprus,CYP,Europe
Czechia,CZE,Europe
Denmark,DNK,Europe
Dominican Republic,DOM,North America
Ecuador,ECU,South America
Egypt,EGY,Africa
France,FRA,Europe
Georgia,GEO,Europe
Germany,DEU,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Guatemala,GTM,North America
Hong Kong,HKG,Asia
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,Asia
Indonesia,IDN,Asia
Ireland,IRL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Japan,JPN,Asia
Jordan,JOR,Asia
Kazakhstan,KAZ,Europe
Korea,KOR,Asia
Kuwait,KWT,Asia
Kyrgyzstan,KGZ,Asia
Lao People's Democratic Republic,LAO,Asia
Latvia,LVA,Europe
Lebanon,LBN,Asia
Liberia,LBR,Africa
Libya,LBY,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Malaysia,MYS,Asia
Maldives,MDV,Asia
Mali,MLI,Africa
Mauritius,MUS,Africa
Mexico,MEX,North America
Mongolia,MNG,Asia
Myanmar,MMR,Asia
Nepal,NPL,Asia
Netherlands,NLD,Europe
New Zealand,NZL,Oceania
Nigeria,NGA,Africa
North Macedonia,MKD,Europe
Oman,OMN,Asia
Pakistan,PAK,Asia
Peru,PER,South America
Philippines,PHL,Asia
Poland,POL,Europe
Portugal,PRT,Europe
Puerto Rico,PRI,North America
Qatar,QAT,Asia
Romania,ROU,Europe
Russian Federation,RUS,Europe
Saudi Arabia,SAU,Asia
Seychelles,SYC,Africa
Singapore,SGP,Asia
Slovakia,SVK,Europe
South Africa,ZAF,Africa
Spain,ESP,Europe
Sri Lanka,LKA,Asia
Switzerland,CHE,Europe
Taiwan,TWN,Asia
Thailand,THA,Asia
Tunisia,TUN,Africa
Turkey,TUR,Europe
Ukraine,UKR,Europe
United Arab Emirates,ARE,Asia
United Kingdom of Great Britain and Northern Ireland,GBR,Europe
United States of America,USA,North America
Uruguay,URY,South America
Viet Nam,VNM,Asia
Virgin Islands ,VGB,North America
